Command,Verdict,Option Description
aws autoscaling create-auto-scaling-group --auto-scaling-group-name bogus-asg --launch-configuration-name invalid-config --min-size 1 --max-size 1,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws autoscaling describe-auto-scaling-groups,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws autoscaling delete-auto-scaling-group --auto-scaling-group-name bogus-asg,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws dms create-endpoint --endpoint-identifier bogus-endpoint --endpoint-type source --engine-name mysql --username bogus-user --password bogus-pass --server-name bogus-db --port 1234,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws dms describe-endpoints,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws dms list-tags-for-resource,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws dms delete-endpoint --endpoint-arn bogus-endpoint-arn,Denied by VPC Endpoint Policy,PrincipalOrgPaths
"aws dynamodb create-table --table-name bogus-table --attribute-definitions AttributeName=id,AttributeType=S --key-schema AttributeName=id,KeyType=HASH --provisioned-throughput ReadCapacityUnits=5,WriteCapacityUnits=5",Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws dynamodb list-tables,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws dynamodb describe-endpoints,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws dynamodb put-item --table-name bogus-table --item file://item.json,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws dynamodb get-item --table-name bogus-table --key file://key.json,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws dynamodb delete-table --table-name bogus-table,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws ec2 list-snapshots-in-recycle-bin,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws ec2 describe-security-group-rules,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws ec2 create-route --route-table-id bogus-table-id --destination-cidr-block 0.0.0.0/0 --gateway-id bogus-gateway-id,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws ec2 delete-route --route-table-id bogus-table-id --destination-cidr-block 0.0.0.0/0,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws ec2 copy-image --source-image-id ami-0427090fd1714168b --source-region us-east-1 --name bogus-image-copy,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws ec2 copy-snapshot --source-region us-east-1 --source-snapshot-id snap-066877671789bd71b,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws elbv2 create-load-balancer --name bogus-lb --subnets bogus-subnet-id,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws elbv2 set-security-groups --load-balancer-arn bogus-lb-arn --security-groups bogus-sg-id,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws elbv2 describe-load-balancers,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws elbv2 delete-load-balancer --load-balancer-arn bogus-lb-arn,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws cloudwatch put-metric-data --namespace bogus-namespace --metric-name bogus-metric --value 1.0,Denied by VPC Endpoint Policy,PrincipalOrgPaths
aws cloudwatch describe-alarms,Denied by VPC Endpoint Policy,PrincipalOrgPaths
